ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
252,36.49,28.38,14.86,20.27,27,21,11,15,74,33.77,33.85,32.39,0,19.05,19.11,18.28,0,56.446,41.86,33.23,24.91,0,30.98,24.59,18.43,0,74,0.81,0.13,0.05,0.00866519,0.0991809
253,58.08,13.17,12.57,16.17,97,22,21,27,167,46.84,27.93,25.23,0,69.33,41.36,37.37,0,148.063,65.94,17.97,16.1,0,110.11,30,26.88,0,167,1,0,0,0.0168535,0.116906
254,67.06,11.76,8.24,12.94,114,20,14,22,170,50.48,25.15,24.37,0,149.98,74.75,72.43,0,297.158,72.36,15.95,11.69,0,123.01,27.12,19.87,0,170,1,0,0,0.0183104,0.124883
255,74.05,5.41,4.32,16.22,137,10,8,30,185,45.85,29.85,24.31,0,88.71,57.82,47.08,0,193.607,81.36,10.83,7.81,0,150.52,20.04,14.44,0,185,1,0,0,0.0283637,0.134202
256,55.1,15.31,7.14,22.45,108,30,14,44,196,47.86,27.97,24.16,0,103.94,60.81,52.51,0,217.251,64.05,22.44,13.5,0,125.55,43.98,26.47,0,196,1,0,0,0.0129874,0.119068
257,74.4,4.8,3.2,17.6,93,6,4,22,125,67.09,20.2,12.7,0,238.44,71.82,45.18,0,355.438,84.26,10.34,5.4,0,105.33,12.93,6.75,0,125,1,0,0,0.0270914,0.134676
258,52.1,12.61,8.4,26.89,62,15,10,32,119,39.61,34.24,26.15,0,26.74,23.18,17.71,0,67.626,61.53,22.22,16.25,0,73.22,26.45,19.34,0,119,1,0,0,0.0119131,0.119676
259,28.06,4.08,3.06,64.8,55,8,6,127,196,46.02,30.81,23.17,0,33.09,22.17,16.66,0,71.918,56.89,23.03,20.08,0,111.5,45.14,39.36,0,196,1,0,0,0.00660866,0.108908
260,9.3,6.31,4.98,79.4,28,19,15,239,301,33.98,33.85,32.17,0,78.54,78.24,74.34,0,231.118,38.29,31.05,30.65,0,115.26,93.47,92.27,0,301,0.9,0.05,0.05,0.00145796,0.0838776
261,18.59,3.52,2.01,75.88,37,7,4,151,199,35.09,33.12,31.79,0,39.6,37.4,35.88,0,112.88,46.77,29.16,24.08,0,93.06,58.02,47.91,0,199,1,0,0,0.00436454,0.0932473
262,15.54,8.11,4.05,72.3,23,12,6,107,148,31.55,35.97,32.48,0,21.38,24.39,22.05,0,67.819,41.73,34.18,24.08,0,61.77,50.59,35.65,0,148,0.93,0.06,0.01,0.00323702,0.0921171
263,32.26,8.87,3.23,55.65,40,11,4,69,124,38.18,37.76,24.06,0,20.31,20.19,12.83,0,53.336,56.68,25.25,18.07,0,70.28,31.31,22.41,0,124,1,0,0,0.00813054,0.114624
