ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
252,36.49,28.38,14.86,20.27,27,21,11,15,74,33.81,33.78,32.41,0,19.08,19.1,18.31,0,56.491,31,100,0.0100043
253,58.08,13.17,12.57,16.17,97,22,21,27,167,46.42,28.19,25.39,0,68.04,41.33,37.26,0,146.628,100,100,0.0194113
254,67.06,11.76,8.24,12.94,114,20,14,22,170,50.75,24.98,24.27,0,151.26,74.49,72.36,0,298.1,100,100,0.0210857
255,74.05,5.41,4.32,16.22,137,10,8,30,185,46.26,29.21,24.53,0,89.07,56.29,47.24,0,192.597,100,100,0.032639
256,55.1,15.31,7.14,22.45,108,30,14,44,196,48.13,27.81,24.06,0,104.4,60.36,52.22,0,216.988,100,100,0.0149897
257,74.4,4.8,3.2,17.6,93,6,4,22,125,66.85,20.08,13.07,0,241.05,72.43,47.16,0,360.646,100,100,0.0311836
258,52.1,12.61,8.4,26.89,62,15,10,32,119,39.41,34.21,26.38,0,26.76,23.26,17.92,0,67.934,100,100,0.0136548
259,28.06,4.08,3.06,64.8,55,8,6,127,196,46.26,31.24,22.5,0,34.43,23.24,16.73,0,74.388,100,100,0.00766011
260,8.74,6.29,5.24,79.72,25,18,15,228,286,31.5,38.2,30.3,0,60.62,73.55,58.33,0,192.487,86.2,100,0.00158573
261,7.73,9.09,7.73,75.45,17,20,17,166,220,30.27,39.05,30.68,0,44.15,56.95,44.77,0,145.867,69.8,99,0.0014969
262,17.12,2.74,1.37,78.77,25,4,2,115,146,29.32,44.79,25.9,0,22.12,33.84,19.55,0,75.511,99.3,100,0.00423654
263,15.54,8.11,4.05,72.3,23,12,6,107,148,32.57,35.21,32.22,0,21.82,23.58,21.62,0,67.015,82.5,98,0.00372974
264,32.26,8.87,3.23,55.65,40,11,4,69,124,40.31,36.76,22.94,0,22.53,20.66,12.85,0,56.039,99.9,100,0.00927366
265,42.21,4.55,1.3,51.95,65,7,2,80,154,55.49,29.42,15.09,0,52.28,27.76,14.22,0,94.257,100,100,0.0153551
266,67.68,1.52,1.14,29.66,178,4,3,78,263,60.11,22.72,17.17,0,190.67,72.13,54.51,0,317.296,100,100,0.0228965
267,51.27,7.63,6.78,34.32,121,18,16,81,236,37.16,39.67,23.17,0,26.23,28.08,16.38,0,70.692,100,100,0.0151814
268,25.58,8.37,6.51,59.53,55,18,14,128,215,49.8,36.47,13.73,0,17.52,12.8,4.85,0,35.175,100,100,0.00792943
269,11.69,9.52,4.76,74.03,27,22,11,171,231,43.1,28.88,28.03,0,63.6,42.62,41.37,0,147.587,79.5,97,0.00334367
270,69.85,0.74,0,29.41,190,2,0,80,272,67.58,18.64,13.78,0,118.33,32.69,24.16,0,175.179,100,100,0.0283591
271,50,1.87,1.49,46.64,134,5,4,125,268,48.43,28.89,22.69,0,21.84,13.11,10.27,0,45.212,100,100,0.0166328
272,8.53,6.16,4.27,81.04,18,13,9,171,211,32.99,39.59,27.42,0,27.82,33.36,23.11,0,84.281,97.2,100,0.0031271
273,6.22,4,1.33,88.44,14,9,3,199,225,40.25,31.6,28.14,0,77.98,61.22,54.56,0,193.765,99.3,100,0.0028779
274,1.66,1.99,0.99,95.36,5,6,3,288,302,37.81,31.87,30.31,0,54.93,46.31,44.06,0,145.301,91.5,97,0.0019106
275,2.93,2.93,1.1,93.04,8,8,3,254,273,34.7,35.45,29.85,0,69.53,71.05,59.81,0,200.391,73,95,0.00168605
276,4.8,6,2.8,86.4,12,15,7,216,250,46.53,33.18,20.3,0,125.74,89.67,54.85,0,270.261,90.1,99,0.00237654
277,14.4,8.23,7.82,69.55,35,20,19,169,243,40.41,42.9,16.69,0,63.53,67.47,26.25,0,157.253,99.6,100,0.00478934
278,75.72,2.06,1.65,20.58,184,5,4,50,243,88.55,6.53,4.92,0,804.36,59.35,44.66,0,908.364,100,100,0.0230563
279,5.32,1.42,1.42,91.84,15,4,4,259,282,36.2,38.89,24.92,0,35.24,37.82,24.25,0,97.313,94.6,99,0.00261356
280,47.92,2.08,0.42,49.58,115,5,1,119,240,54.46,23.16,22.38,0,172.8,73.52,71.06,0,317.375,100,100,0.0167982
281,14.67,9.33,5.33,70.67,33,21,12,159,225,27.11,43.69,29.2,0,58.18,93.8,62.7,0,214.679,91.4,99,0.00430165
