"","name","n"
"1","MELI_Aglaia_elaeagnoidea_GAP83182","40=0.333_42=0.333_20=0.334"
"2","MELI_Aglaia_macrocarpa_IDS11875","40=0.333_42=0.333_20=0.334"
"3","MELI_Aglaia_odorata_SRR5947159","40=0.333_42=0.333_20=0.334"
"4","MELI_Aglaia_tomentosa_IDS10863","40=0.333_42=0.333_20=0.334"
"5","MELI_Anthocarapa_nitidula_IDS10441","X"
"6","MELI_Aphanamixis_polystachya_IDS10975","18=0.333_21=0.333_38=0.334"
"7","MELI_Astrotrichilia_asterotricha_IDS10567","X"
"8","MELI_Azadirachta_indica_IDS10433","14=0.5_15=0.5"
"9","MELI_Cabralea_canjerana_IDS10881","X"
"10","MELI_Calodecaryia_crassifolia_IDS10873","18"
"11","MELI_Capuronianthus_mahafalensis_IDS10825","29"
"12","MELI_Carapa_procera_IDS10903","29"
"13","MELI_Cedrela_angustifolia_IDS10889","27=0.2_25=0.2_26=0.2_28=0.2_12=0.2"
"14","MELI_Cedrela_odorata_SRR7505213","27=0.2_25=0.2_26=0.2_28=0.2_12=0.2"
"15","MELI_Chisocheton_longistipitatus_GAP83183","23"
"16","MELI_Chukrasia_tabularis_IDS11863","13"
"17","MELI_Cipadessa_baccifera_IDS10715","14=0.5_28=0.5"
"18","MELI_Didymocheton_sp__IDS10737","X"
"19","MELI_Dysoxylum_alliaceum_GAP83184","40=0.25_42=0.25_10=0.25_36=0.25"
"20","MELI_Ekebergia_capensis_IDS10837","23"
"21","MELI_Entandrophragma_bussei_IDS11865","18=0.333_33=0.333_36=0.334"
"22","MELI_Guarea_glomerulata_IDS10907","75"
"23","MELI_Guarea_laurentii_IDS10983","75"
"24","MELI_Heckeldora_staudtii_IDS10909","X"
"25","MELI_Heynea_trijuga_IDS10997","12=0.5_14=0.5"
"26","MELI_Humbertioturraea_grandidieri_IDS10569","X"
"27","MELI_Khaya_anthotheca_IDS10779","25=0.333_23=0.333_24=0.334"
"28","MELI_Lepidothrichilia_volkensii_IDS10571","X"
"29","MELI_Lovoa_sywnnertonii_IDS10781","26=0.5_25=0.5"
"30","MELI_Malleastrum_maadenense_IDS10827","X"
