Taxon,inferred_basic_N,N,2N,Ref
Boronia_algida,10,10,20,(Stace and Armstrong 1992)
Boronia_anethifolia,18,18,36,(Shan et al. 2003b)
Boronia_barkeriana,9,9,18,(Smith-White 1954)
Boronia_chartacea,16,16,32,"(Shan et al. 2003b, a, 2006)"
Boronia_citriodora,54,54,108,(Shan et al. 2003b)
Boronia_clavata,7,7,14,"(Shan et al. 2003b, 2006)"
Boronia_crassifolia,9(18),"9,18","18,36",(Smith-White 1954)
Boronia_crassipes,8,8,16,(Astarini et al. 1999)
Boronia_crenulata,9(18),"9,18","18,36",(Smith-White 1954; Shan et al. 2003b)
Boronia_deanei,11,11,22,(Shan et al. 2003b)
Boronia_denticulata,9,9,18,"(Smith-White 1954; Stace and Armstrong 1992; Shan et al. 2003b, 2006)"
Boronia_fastigiata,9,9,18,(Smith-White 1954)
Boronia_filifolia,9,9,18,"(Stace and Armstrong 1992; Shan et al. 2003b, 2006)"
Boronia_floribunda,11,11,22,(Smith-White 1954)
Boronia_fraseri,16,16,32,"(Smith-White 1954; Shan et al. 2003b, 2006)"
Boronia_gracilipes,8,8,16,(Smith-White 1954; Shan et al. 2003b)
Boronia_heterophylla,8,"7,15","14,15,30","(Yan et al. 2002; Plummer et al. 2003; Shan et al. 2003a, b, 2006)"
Boronia_keysii,16,16,32,(Shan et al. 2003b)
Boronia_ledifolia,16,16,32,"(Smith-White 1954; Shan et al. 2003b, 2006)"
Boronia_megastigma,7,7,14,"(Smith-White 1954; Shan et al. 2003b, a, 2006)"
Boronia_microphylla,11,11,22,(Smith-White 1954)
Boronia_mollis,16,16,32,"(Smith-White 1954; Shan et al. 2003b, 2006)"
Boronia_molloyae,8,8,16,"(Smith-White 1954; Yan et al. 2002; Plummer et al. 2003; Shan et al. 2003b, a, 2006)"
Boronia_muelleri,11,11,22,"(Stace and Armstrong 1992; Shan et al. 2003b, 2006)"
Boronia_nematophylla,9,9,18,(Smith-White 1954)
Boronia_parviflora,9,9,18,(Smith-White 1954)
Boronia_pilosa,11(22),"11,22","22,44","(Smith-White 1954; Shan et al. 2003b, 2006)"
Boronia_pinnata,11,11,22,"(Smith-White 1954; Shan et al. 2003b, a, 2006)"
Boronia_pulchella,7,7,14,(Smith-White 1954)
Boronia_purdieana,9,9,18,"(Smith-White 1954; Yan et al. 2002; Shan et al. 2003a, b, 2006)"
Boronia_serrulata,11,11,22,"(Smith-White 1954; Shan et al. 2003b, 2006)"
Boronia_spathulata,9,9,18,(Smith-White 1954)
Boronia_thujona,11,11,22,(Smith-White 1954)
Boronella_sp,12,12,24,(Smith-White 1954; Weston et al. 1984)
Acronychia_baeuerlenii,18,18,,
Medicosma_fareana,18,18,,
Cyanothamnus_anemonifolius,18,18,,
Cyanothamnus_polgalifolius,18,18,,
Euodia_hylandii,18,18,,
Zieria_arborescens,18,18,,
Boronia_chartacea,16,16,,"(Shan et al. 2003b, a, 2006)"
Boronia_fastigiata,9,9,,(Smith-White 1954)
Boronia_mollis,16,16,,"(Smith-White 1954; Shan et al. 2003b, 2006)"
Boronia_purdieana,9,9,,"(Smith-White 1954; Yan et al. 2002; Shan et al. 2003a, b, 2006)"
