ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
277,34.43,25,23.77,16.8,84,61,58,41,244,46.7,28.65,24.65,0,126.77,77.78,66.93,0,271.471,40.53,30.46,29.01,0,98.89,74.32,70.79,0,244,0.97,0.02,0.01,0.00302358,0.177886
278,56.84,7.26,2.99,32.91,133,17,7,77,234,73.49,14.28,12.23,0,53.61,10.45,8.99,0,73.047,72.24,16.34,11.42,0,169.04,38.25,26.72,0,234,1,0,0,0.00888572,0.207102
279,79.17,4.17,2.08,14.58,190,10,5,35,240,89.66,6.94,3.4,0,73.93,5.75,2.81,0,82.49,86.91,7.19,5.9,0,208.57,17.27,14.16,0,240,1,0,0,0.0209133,0.238319
280,67.19,2.6,2.6,27.6,129,5,5,53,192,67.46,16.34,16.2,0,22.7,5.54,5.48,0,33.711,81.99,9.43,8.58,0,157.42,18.1,16.47,0,192,1,0,0,0.0170318,0.221392
281,13.79,6.9,6.32,72.99,24,12,11,127,174,28.53,41.36,30.11,0,8.14,11.75,8.67,0,28.555,42.67,29.73,27.6,0,74.24,51.73,48.02,0,174,0.98,0.01,0.01,0.00358128,0.179674
282,4.67,2.8,1.4,91.12,10,6,3,195,214,34.04,33.57,32.39,0,26.24,25.86,24.95,0,77.042,36.29,32.58,31.13,0,77.65,69.72,66.63,0,214,0.63,0.21,0.16,0.00108502,0.170306
283,4.35,7.91,1.58,86.17,11,20,4,218,253,34.06,39.54,26.4,0,40.5,47.03,31.4,0,118.925,34.55,37.23,28.22,0,87.42,94.18,71.4,0,253,0.24,0.7,0.06,0.00133852,0.16436
284,6.25,5.68,3.41,84.66,11,10,6,149,176,34.78,33.42,31.8,0,17.16,16.49,15.69,0,49.348,40.06,31.94,28,0,70.51,56.21,49.28,0,176,0.91,0.06,0.03,0.00274514,0.168895
285,9.55,7.01,0,83.44,15,11,0,131,157,49.18,34.34,16.48,0,36.07,25.22,12.13,0,73.419,47.59,28.88,23.53,0,74.72,45.34,36.94,0,157,1,0,0,0.00406085,0.172788
286,5.29,8.99,4.23,81.48,10,17,8,154,189,26.27,45.08,28.65,0,17.09,29.33,18.64,0,65.05,30.2,35.07,34.73,0,57.07,66.29,65.64,0,189,0.15,0.44,0.4,0.00114646,0.16487
