ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
277,34.43,25,23.77,16.8,84,61,58,41,244,46.73,28.63,24.64,0,126.41,77.44,66.65,0,270.493,99.8,100,0.00284538
278,56.84,7.26,2.99,32.91,133,17,7,77,234,73.49,14.51,12,0,53.62,10.63,8.81,0,73.06,100,100,0.00839171
279,79.17,4.17,2.08,14.58,190,10,5,35,240,90.06,6.53,3.41,0,73.49,5.35,2.8,0,81.642,100,100,0.019655
280,67.19,2.6,2.6,27.6,129,5,5,53,192,67.04,16.52,16.44,0,22.47,5.57,5.53,0,33.569,100,100,0.0161325
281,13.47,8.81,1.55,76.17,26,17,3,147,193,32.08,36.37,31.55,0,9.08,10.33,8.95,0,28.359,85.7,99,0.00285922
282,6.37,5.39,4.41,83.82,13,11,9,171,204,30.99,38.35,30.66,0,17.86,22.11,17.71,0,57.686,87,99,0.00185164
283,6.22,2.67,2.22,88.89,14,6,5,200,225,29.83,35.72,34.45,0,29.06,34.83,33.58,0,97.48,98.3,96,0.00191841
284,6.22,5.7,2.59,85.49,12,11,5,165,193,37.26,35.27,27.46,0,30.13,28.51,22.19,0,80.838,90.7,94,0.00220949
285,9.41,2.94,1.76,85.88,16,5,3,146,170,30.83,54.22,14.95,0,33.3,59.37,16.18,0,108.847,100,100,0.00422904
286,6.52,4.89,4.35,84.24,12,9,8,155,184,36.5,43.9,19.59,0,27.42,33.03,14.71,0,75.15,99,100,0.00335635
287,8.28,7.64,5.73,78.34,13,12,9,123,157,31.59,36.26,32.15,0,9.55,10.95,9.72,0,30.227,97.9,100,0.00282455
288,10.32,8.39,8.39,72.9,16,13,13,113,155,25.03,37.55,37.41,0,9.95,14.9,14.87,0,39.716,92.3,100,0.00277677
