ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
277,39.23,23.76,19.34,17.68,71,43,35,32,181,49.89,25.54,24.57,0,107.59,55.08,52.98,0,215.656,99,100,0.00123353
278,53.68,5.26,4.74,36.32,102,10,9,69,190,53.58,25.72,20.7,0,12.12,5.82,4.73,0,22.67,100,100,0.00301172
279,80.1,3.48,2.49,13.93,161,7,5,28,201,38.24,32.39,29.37,0,2.09,1.71,1.54,0,5.338,100,100,0.00751871
280,68.02,2.54,2.03,27.41,134,5,4,54,197,69.24,18.52,12.14,0,3.83,1.03,0.68,0,5.534,100,100,0.00702604
281,11.56,11.06,5.03,72.36,23,22,10,144,199,19.29,49.13,31.58,0,2.15,5.46,3.43,0,11.046,75.8,98,0.00122898
282,4.78,5.74,3.83,85.65,10,12,8,179,209,22.47,46.36,31.17,0,6.09,12.5,8.37,0,26.959,73.9,62,0.00104503
283,3.77,4.72,0.94,90.57,8,10,2,192,212,33.24,41.39,25.36,0,20.75,25.92,15.85,0,62.51,61.7,62,8.95057e-4
284,2.8,4.21,0.93,92.06,6,9,2,197,214,25.71,45.68,28.62,0,18.87,33.56,20.99,0,73.42,91.1,57,0.00100682
285,7.01,1.4,0.47,91.12,15,3,1,195,214,30.73,45.45,23.81,0,29.08,43.05,22.55,0,94.68,100,100,0.00231317
286,2.99,4.98,2.99,89.05,6,10,6,179,201,26.91,50.3,22.79,0,19.66,36.83,16.67,0,73.166,47.9,92,0.00117563
287,4.46,6.93,2.97,85.64,9,14,6,173,202,20.34,53.93,25.73,0,12.15,32.16,15.36,0,59.661,99.2,100,0.00162855
288,10.19,7.77,1.46,80.58,21,16,3,166,206,23.99,47.81,28.2,0,5.55,11.07,6.53,0,23.15,99.5,100,0.00180251
289,5.83,9.71,2.91,81.55,12,20,6,168,206,26.25,43.5,30.25,0,8.56,14.15,9.89,0,32.59,83.7,98,0.00130441
290,11.43,7.43,5.14,76,20,13,9,133,175,45.79,27.69,26.52,0,53.51,32.39,31.02,0,116.923,88,99,0.00137315
291,23.16,7.91,6.21,62.71,41,14,11,111,177,49.28,36.44,14.28,0,16.26,12.03,4.74,0,33.031,100,100,0.00256431
292,48.28,7.88,7.88,35.96,98,16,16,73,203,32.74,44.55,22.71,0,26.96,36.74,18.74,0,82.434,100,100,0.00520543
293,86.15,1.54,1.03,11.28,168,3,2,22,195,68.69,16.76,14.55,0,126.1,30.8,26.74,0,183.645,100,100,0.0154675
294,50.52,11.98,10.42,27.08,97,23,20,52,192,47.71,31.44,20.85,0,41.14,27.15,18.01,0,86.298,100,100,0.00559326
295,59.66,2.84,0.57,36.93,105,5,1,65,176,44.8,29.66,25.54,0,33.1,21.94,18.89,0,73.932,100,100,0.00704736
296,24.81,10.08,9.3,55.81,32,13,12,72,129,38.93,36.69,24.38,0,10.12,9.59,6.4,0,26.103,60.3,99,0.00194722
297,96.69,0.83,0,2.48,117,1,0,3,121,87.58,7.3,5.11,0,99.86,8.34,5.85,0,114.049,100,100,0.0221691
298,42.36,28.47,20.14,9.03,61,41,29,13,144,47.89,43.24,8.87,0,10.95,9.91,2.05,0,22.904,95.8,100,0.0015083
299,81.25,7.64,6.25,4.86,117,11,9,7,144,95.33,3.49,1.18,0,342.71,12.53,4.24,0,359.483,100,100,0.00542948
300,14.53,15.12,12.79,57.56,25,26,22,99,172,34.57,41.6,23.83,0,4.72,5.65,3.26,0,13.635,79.9,100,0.0011457
301,23.45,4.83,3.45,68.28,34,7,5,99,145,32.17,34.67,33.16,0,6.41,6.91,6.65,0,19.971,99.8,100,0.00201243
302,22.79,19.85,11.76,45.59,31,27,16,62,136,32.37,40.08,27.55,0,18.48,22.92,15.76,0,57.168,50.6,99,0.00178075
